33200001,16818130257
33200002,16405694423
33200003,16818049917
33200004,16818182607
33200005,17025687575
33200006,17023981222
33200007,17024368462
33200008,16999730056
33200009,16818458557
33200010,16837771868
33200011,16837984468
33200012,16838145990
33200013,17024525541
33200014,16817988687
33200015,16837605088
33200016,16403012874
33200017,17025551465
33200018,16405585593
33200019,17025746645
33200020,16999690596
33200021,16837936060
33200022,16403112894
33200023,17024540481
33200024,16839252209
33200025,17024187672
33200026,16837837130
33200027,16403073714
33200028,17024713091
33200029,17023929992
33200030,16999517736
33200031,16405357033
33200032,17025439725
33200033,17024872061
33200034,16837960208
33200035,16818057997
33200036,17023967072
33200037,16405277353
33200038,16405502343
33200039,17024088862
33200040,17025702765
33200041,17025718485
33200042,16838022398
33200043,17025553475
33200044,17025464095
33200045,16405241693
33200046,16405629153
33200047,16405478953
33200048,17025740065
33200049,16839206989
33200050,16999618066
33200051,16839337869
33200052,17024648191
33200053,16873731978
33200054,17058697502
33200055,16403242194
33200056,16837967498
33200057,16405425923
33200058,17024285272
33200059,17024178042
33200060,17024229902
33200061,16405716173
33200062,16817955267
33200063,16403164414
33200064,16405457823
33200065,17023935352
33200066,16402953944
33200067,16999602026
33200068,16837952610
33200069,16405579373
33200070,16403025504
33200071,17060660781
33200072,17026864721
33200073,16817967537
33200074,16837656448
33200075,17025875405
33200076,16839430059
33200077,16839596049
33200078,16999829486
33200079,16818073937
33200080,16999862676
33200081,16999418916
33200082,16873918560
33200083,16838335410
33200084,16999604616
33200085,16839616289
33200086,16403027884
33200087,16405423703
33200088,17024775571
33200089,16839211759
33200090,16818051877
33200091,16839281869
33200092,17025691825
33200093,16839188069
33200094,16403357924
33200095,16403095964
33200096,17025664475
33200097,16837781478
33200098,17025662475
33200099,17024690661
33200100,17024919751
33200101,16837643098
33200102,16837951838
33200103,16440480523
33200104,16999773966
33200105,16872538868
33200106,16818163407
33200107,17061644775
33200108,16999687136
33200109,17060172942
33200110,17023951742
33200111,16403246384
33200112,16818243727
33200113,17024822991
33200114,16403143044
33200115,16999600376
33200116,16403214404
33200117,16838171540
33200118,16838033828
33200119,16405631203
33200120,16872288678
33200121,16839589069
33200122,16837905030
33200123,16411629753
33200124,17024345962
33200125,16872291168
33200126,16872286088
33200127,17024984641
33200128,16405440813
33200129,16999752756
33200130,16405657193
33200131,16837754558
33200132,17025696115
33200133,16839620589
33200134,17025543295
33200135,17024788501
33200136,16999374376
33200137,16837738798
33200138,17025368435
33200139,17024901611
33200140,17023922802
33200141,16403370224
33200142,16403359904
33200143,17025453505
